PRD,PRD Owner,Status,PRD ETA,Last Edited
Banking partner finalization,,,,"August 11, 2025 6:58 PM"
Template (PRD),,,,"August 12, 2025 8:20 PM"
Unpledge - Stocks selection logic,Ranjan kumar Singh,Completed,,"March 19, 2026 9:44 PM"
LAS CMS: Lodgement,Vaibhav Arora,Completed,"August 20, 2025","October 30, 2025 7:51 PM"
IFSC addition: Account opening enhancement,Vaibhav Arora,Completed,"August 20, 2025","September 1, 2025 10:22 PM"
Collateral release enhancement,Vaibhav Arora,In progress,"September 8, 2025","September 8, 2025 12:09 PM"
Charge reversal enhancement,Vaibhav Arora,Completed,"July 22, 2025","November 18, 2025 5:25 PM"
LAS CMS: Confiscation and sale of securities,Vaibhav Arora,Completed,"October 30, 2025","November 17, 2025 12:01 PM"
LAS CMS: Unlodgement,Vaibhav Arora,Completed,"October 30, 2025","March 19, 2026 9:44 PM"
LSP: Presentation enhancement for externally registered mandates,Vaibhav Arora,Completed,"November 10, 2025","November 21, 2025 2:07 PM"
Trackwizz continuos monitoring enhancement,Vaibhav Arora,,,"November 13, 2025 12:39 PM"
Product Note: Interest Refund via Credit Note,Vaibhav Arora,Completed,"July 22, 2025","January 23, 2026 8:15 PM"
Tally ERP Integration,Vaibhav Arora,Completed,,"March 19, 2026 9:44 PM"
FD: Fixerra,,,,"December 1, 2025 2:13 PM"
Product note template evaluation,Vaibhav Arora,Completed,,"March 19, 2026 9:44 PM"
BRD: Enhancements to Schedule & Derived Details Processing for OD (Loan Against Mutual Funds),Vaibhav Arora,Completed,,"December 11, 2025 2:41 PM"
Charge reversal enhancement V2,Vaibhav Arora,Completed,"December 11, 2025","March 19, 2026 9:44 PM"
Colending: Disbursement and Charge knock off,Vaibhav Arora,Completed,"January 16, 2026","March 19, 2026 9:44 PM"
LMS: Multiple sell off requests,Vaibhav Arora,Completed,"January 16, 2026","March 19, 2026 9:44 PM"
BRD: Interest Refund via Credit Note - OD,,Completed,,"March 19, 2026 9:44 PM"
Finflux Product Setup for Co-Lending,Vaibhav Arora,Completed,"January 27, 2026","March 19, 2026 9:44 PM"
BRD: Interest Refund via Credit Note - OD - V2,Vaibhav Arora,Completed,,"March 19, 2026 9:44 PM"
Corporate action - Data feed,Vaibhav Arora,Completed,,"March 19, 2026 9:44 PM"
Volt - Shortfall Communication Enhancement – Due Date Based Messaging,Vaibhav Arora,Completed,"March 9, 2026","March 31, 2026 11:28 AM"
Volt - Overdue Communication Enhancement,Vaibhav Arora,Completed,"March 9, 2026","April 3, 2026 11:14 AM"
Transaction Sequencing & Transaction Workflows for Co-Lending LMS,Vaibhav Arora,Completed,"March 10, 2026","March 19, 2026 9:44 PM"
Product Note: LAS Customer Consent Capture,Vaibhav Arora,Completed,"March 11, 2026","March 16, 2026 2:48 PM"
Product Note: Penalty migration to Fenix (Colending),Vaibhav Arora,Completed,"March 15, 2026","April 14, 2026 4:02 PM"
Product note: Foreclosure (Colending),Vaibhav Arora,Completed,"March 15, 2026","May 19, 2026 2:47 PM"
Product note: Interest rate change handling,Vaibhav Arora,Pending review,"March 19, 2026","March 19, 2026 9:51 PM"
Product note: Virtual account handling for Colending,Vaibhav Arora,Completed,"March 25, 2026","April 7, 2026 3:38 PM"
Product note: Razorpay PG integration Colending,Vaibhav Arora,Completed,"March 26, 2026","April 7, 2026 3:38 PM"
Product note: Excess refund Colending,Vaibhav Arora,Completed,"March 26, 2026","April 7, 2026 3:38 PM"
Product note: Foreclosure V2 for Colending,Vaibhav Arora,Pending review,"April 7, 2026","April 24, 2026 7:43 AM"
Product note: Credit note for TL,Vaibhav Arora,Pending review,"April 17, 2026","April 28, 2026 4:45 PM"
Approved Scrips productisation,Vaibhav Arora,Pending review,"April 21, 2026","May 8, 2026 12:03 PM"
Razorpay SDK enhancement for Colending,Vaibhav Arora,Pending review,"April 22, 2026","April 22, 2026 6:29 PM"
Shortfall Enhancement,Vaibhav Arora,Completed,"April 23, 2026","May 6, 2026 2:55 PM"
Analytics requirement for amortisation of PF,Vaibhav Arora,Pending review,"April 24, 2026","April 24, 2026 8:59 AM"
Disbursement simulation - LMS,Vaibhav Arora,Pending review,"May 5, 2026","May 22, 2026 3:49 PM"
,,,,"May 11, 2026 3:40 PM"
Product Note: Post-Loan ROI Correction Workflow,Abhijeet Jha,Pending review,"May 15, 2026","May 15, 2026 7:22 PM"
PMR consumption,Vaibhav Arora,Pending review,"May 19, 2026","May 19, 2026 5:45 PM"
Part payments - No cost EMI / TL (Cred),Vaibhav Arora,Pending review,"May 22, 2026","May 22, 2026 11:34 AM"
PPSL UPI mandate presentation,Vaibhav Arora,Pending review,"May 25, 2026","May 25, 2026 10:00 PM"
Loan cancellation - No cost EMI / TL (Cred),Vaibhav Arora,Pending review,"May 26, 2026","May 26, 2026 9:08 PM"
